content,url,title,relevance_score,themes,scraped_at
"On October 12, 2024, a man was arrested near a checkpoint at a Donald Trump rally in Coachella, California. The man had possessed two firearms and ammunition, multiple passports with different names, and an unregistered vehicle with a fake license plate. On the same day, he was released after posting a $5,000 bail.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Physical assaults on politicians in democracies,7,Physical assaults on politicians in democracies|Online threats against democratic leaders,2026-01-20T12:49:27.130315
"On March 12, 2016, 22-year-old Thomas DiMassimo was arrested and charged with disorderly conduct as he broke over the police barricade and attempted to rush the stage during a rally in Dayton, Ohio. He was tackled by the Secret Service. On July 26, 2016, DiMassimo was sentenced to one year probation.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Physical assaults on politicians in democracies,7,Physical assaults on politicians in democracies,2026-01-20T12:49:27.130352
"On June 18, 2016, Trump was giving a speech at the Treasure Island Hotel and Casino in Las Vegas, Nevada, as part of his presidential campaign. During the speech, Michael Steven Sandford, a 20-year-old British man, attempted to grab a Las Vegas Metropolitan Police officer's pistol. The officer quickly subdued Sandford, who was arrested and handed over to the United States Secret Service, where he expressed his desire to murder Trump. Sandford was sentenced to 12 months and one day's imprisonment, along with being fined $200. After becoming eligible for early release, Sandford was released and deported to the United Kingdom in May 2017.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Physical assaults on politicians in democracies,9,Physical assaults on politicians in democracies,2026-01-20T12:49:27.130353
"On November 5, 2016, three days before the presidential election, Trump was speaking at a rally in Reno, Nevada, when a man in the crowd screamed 'gun'. This caused Trump to be rushed off stage by security, and the man was tackled by surrounding members of the crowd. The man, Austyn Crites, was subdued by Secret Service agents and searched, only to find that he was unarmed. Crites, a Republican who opposed Trump, was holding up a sign shortly before that stated 'Republicans against Trump'. Crites stated that others attempted to grab the sign and were booing him. After the scene was cleared and identified as safe, Trump returned to the stage minutes later and finished the speech without incident.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Physical assaults on politicians in democracies,7,Physical assaults on politicians in democracies,2026-01-20T12:49:27.130355
"On September 6, 2017, in Mandan, North Dakota, Gregory Lee Leingang stole a forklift from an oil refinery and attempted to drive it toward the presidential motorcade while Trump was visiting to rally public support. After the forklift became jammed within the refinery, he fled on foot and was arrested by the pursuing police. While interviewed in detention, Leingang admitted his intent to murder the president by flipping the presidential limousine with the stolen forklift, to the surprise of authorities, who had assumed he was stealing the vehicle for personal use. Leingang pleaded guilty to the attempted attack, stealing the forklift, related charges and several other unrelated crimes on the same day. Consequently, he was sentenced to 20 years in prison. His defense attorney noted a 'serious psychiatric crisis'.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Physical assaults on politicians in democracies,10,Physical assaults on politicians in democracies,2026-01-20T12:49:27.130356
"On October 1, 2018, an envelope containing castor beans, initially incorrectly being identified as ricin, was sent to Trump before being discovered by mailing facilities. Several other letters were sent to the Pentagon, all of them",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Physical assaults on politicians in democracies,9,Physical assaults on politicians in democracies|Online threats against democratic leaders,2026-01-20T12:49:27.130357
"On September 6, 2017, in Mandan, North Dakota, Gregory Lee Leingang stole a forklift from an oil refinery and attempted to drive it toward the presidential motorcade while Trump was visiting to rally public support. After the forklift became jammed within the refinery, he fled on foot and was arrested by the pursuing police. While interviewed in detention, Leingang admitted his intent to murder the president by flipping the presidential limousine with the stolen forklift, to the surprise of authorities, who had assumed he was stealing the vehicle for personal use. Leingang pleaded guilty to the attempted attack, stealing the forklift, related charges and several other unrelated crimes on the same day. Consequently, he was sentenced to 20 years in prison. His defense attorney noted a 'serious psychiatric crisis'.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Physical assaults on politicians in democracies,10,Physical assaults on politicians in democracies,2026-01-20T12:49:27.130359
"On October 1, 2018, an envelope containing castor beans, initially incorrectly being identified as ricin, was sent to Trump before being discovered by mailing facilities. Several other letters were sent to the Pentagon, all of them labeled on the front with 'Jack and the Missile Bean Stock Powder'. Two days later on October 3, a 39-year-old Utah Navy veteran named William Clyde Allen III was arrested and charged with one count of mailing a threat against the president and five counts of mailing threatening communications to an officer or an employee of the United States. Allen pleaded not guilty to all charges. He was subsequently remanded for psychiatric evaluation and treatment, and the charges against him were dismissed on January 25, 2022.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Online threats against democratic leaders,9,Online threats against democratic leaders|Physical assaults on politicians in democracies,2026-01-20T12:49:27.130360
"On September 20, 2020, Pascale Cecile Veronique Ferrier was arrested in Buffalo, New York, while attempting to cross over the border to Canada. Ferrier, who is Canadian, wrote in a ricin-laced letter to Trump that he should drop out of the ongoing 2020 presidential election along with calling him an 'ugly tyrant clown'. She was charged with eight counts each of prohibitions with respect to biological weapons and making threats via interstate commerce and faced up to life in prison. On August 17, 2023, a US court sentenced Ferrier to nearly 22 years in prison.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Online threats against democratic leaders,9,Online threats against democratic leaders|Physical assaults on politicians in democracies,2026-01-20T12:49:27.130361
"On July 13, 2024, Thomas Crooks fired eight shots from an AR-15–style rifle at Trump while speaking at a rally near Butler, Pennsylvania. Trump was shot and wounded in his upper right ear before dropping to the ground and being shielded by the Secret Service. Crooks also killed one member of the audience, Corey Comperatore, as well as critically injuring two others, prior to being shot and killed by a member of the Secret Service Counter Sniper Team. The assassination attempt prompted the resignation of the director of the Secret Service, Kimberly Cheatle, as well as several ongoing investigations into the incident as a political assassination attempt as well as an act of domestic terrorism.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Physical assaults on politicians in democracies,10,Physical assaults on politicians in democracies,2026-01-20T12:49:27.130363
"On September 15, 2024, Ryan Wesley Routh was sighted wielding a rifle in bushes at the Trump International Golf Club in West Palm Beach, Florida, while Donald Trump was golfing at the club. A Secret Service officer shot at Routh, who fled, and was apprehended while driving away. The FBI was investigating it as an assassination attempt. Authorities later confirmed that Routh did wish to kill the former president. An indictment on April 7, 2025, revealed that Routh was planning the assassination attempt as early as February 2024 with an accomplice who called himself 'Ramiro', who lived in Mexico. Routh's trial began on September 8, 2025, and he was found guilty on all counts on September 23. Routh faces life in prison, and his sentencing is scheduled for February 2026.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Physical assaults on politicians in democracies,10,Physical assaults on politicians in democracies|Online threats against democratic leaders,2026-01-20T12:49:27.130364
"A 50-year-old woman from Indiana was arrested in the District of Columbia on August 16, 2025, and charged with making violent threats against Trump. An Instagram account attributed to the woman had posted intent to 'sacrificially kill this POTUS by disemboweling him and cutting out his trachea with Liz Cheney and all The Affirmation present.' The account also referred to Trump as a terrorist and expressed a desire to avenge deaths that occurred due to his administration's COVID-19 policies. During an interview with the Secret Service, she claimed to have a bladed object which she would use to kill Trump. On the day of her arrest, the woman 'circumnavigated' the White House complex as part of a protest.",https://en.wikipedia.org/wiki/Assassination_attempts_on_Donald_Trump,Online threats against democratic leaders,10,Online threats against democratic leaders|Physical assaults on politicians in democracies,2026-01-20T12:49:27.130366
"Trump's rhetoric and actions have been accused of creating and exacerbating anger and distrust through the use of an ""us"" versus ""them"" narrative. His rhetoric has been described as using fearmongering and demagogy which intensified during his 2024 presidential campaign. He has said that he believes real power comes with fear. The alt-right movement coalesced around and supported his candidacy due in part to opposition to multiculturalism and immigration. Trump appealed to evangelical Christian voters and Christian nationalists, and he regularly vilifies his political opponents as ""evil"". He also uses anti-communist sentiment in his rhetoric, regularly calling his opponents ""communists"" and ""Marxists"".",https://en.wikipedia.org/wiki/Donald_Trump,Rhetorical attacks in political discourse,7,Rhetorical attacks in political discourse,2026-01-20T12:49:27.130506
"Trump has been identified as a key figure in increasing political violence in the U.S., both for and against him. He is described as embracing extremism, conspiracy theories such as QAnon, and far-right militia movements to a greater extent than any modern American president. Research suggests that Trump's rhetoric is associated with an increased incidence of hate crimes, and that he has an emboldening effect on expressing prejudicial attitudes due to his normalization of explicit racial rhetoric. Researchers have also argued that Trump's ""negative characterisations of, and false claims made about, those who became the targets"" of the mob at the January 6 riot was a case of stochastic terrorism. Numerous defendants investigated or prosecuted for violent acts and hate crimes cited his rhetoric in arguing that they were not culpable or should receive leniency. A nationwide review by ABC News in May 2020 identified at least 54 criminal cases, from August 2015 to April 2020, in which he wa",https://en.wikipedia.org/wiki/Donald_Trump,Physical assaults on politicians in democracies,9,Rhetorical attacks in political discourse|Online threats against democratic leaders|Physical assaults on politicians in democracies,2026-01-20T12:49:27.130510
"Trump Recently Urged a Powerful Legislator to Overturn His 2020 Defeat in Wisconsin. Bender, Michael C.; Epstein, Reid J. (July 20, 2022). [\""Trump Recently Urged a Powerful Legislator to Overturn His 2020 Defeat in Wisconsin\""](https://www.nytimes.com/2022/07/21/us/politics/trump-wisconsin-election-call.html). _[The New York Times](https://en.wikipedia.org/wiki/The_New_York_Times \""The New York Times\"")_. Retrieved August 13, 2022. Goldmacher, Shane (April 17, 2022). [\""Mar-a-Lago Machine: Trump as a Modern-Day Party Boss\""](https://www.nytimes.com/2022/04/17/us/politics/trump-mar-a-lago.html). _[The New York Times](https://en.wikipedia.org/wiki/The_New_York_Times \""The New York Times\"")_. Retrieved July 31, 2022. Paybarah, Azi (August 2, 2022). [\""Where Trump\'s Endorsement Record Stands Halfway through Primary Season\""](https://www.nytimes.com/2022/08/02/us/politics/trump-endorsements-midterm-primary-election.html). _[The New York Times](https://en.wikipedia.org/wiki/The_New_York_Ti",https://en.wikipedia.org/wiki/Donald_Trump,Verbal harassment of elected officials,9,Verbal harassment of elected officials|Rhetorical attacks in political discourse,2026-01-20T12:49:27.130514
"Inside Trump\'s pressure campaign to overturn the election. Kumar, Anita; Orr, Gabby; McGraw, Meridith (December 21, 2020). [\""Inside Trump\'s pressure campaign to overturn the election\""](https://www.politico.com/news/2020/12/21/trump-pressure-campaign-overturn-election-449486). _[Politico](https://en.wikipedia.org/wiki/Politico \""Politico\"")_. Retrieved December 22, 2020. Cohen, Marshall (November 5, 2021). [\""Timeline of the coup: How Trump tried to weaponize the Justice Department to overturn the 2020 election\""](https://www.cnn.com/2021/11/05/politics/january-6-timeline-trump-coup/). _[CNN](https://en.wikipedia.org/wiki/CNN \""CNN\"")_. Retrieved November 6, 2021. Haberman, Maggie; Karni, Annie (January 5, 2021). [\""Pence Said to Have Told Trump that he Lacks Power to Change Election Result\""](https://www.nytimes.com/2021/01/05/us/politics/pence-trump-election-results.html). _[The New York Times](https://en.wikipedia.org/wiki/The_New_York_Times \""The New York Times\"")_. Retrieved Ja",https://en.wikipedia.org/wiki/Donald_Trump,Rhetorical attacks in political discourse,9,Verbal harassment of elected officials|Rhetorical attacks in political discourse|Online threats against democratic leaders,2026-01-20T12:49:27.130515
